epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.594,4.80818,4.2636,2.48773,0.31513,0.05748,0.02271,0.005,3.65696,2.61902,1.52457,0.0700551,0.00332721,0.00332721
2,886.624,3.06239,1.98052,1.32576,0.24844,0.1692,0.14239,0.04067,2.7338,1.71703,1.26665,0.0384067,0.00501206,0.00501206
3,1295.16,2.71613,1.63028,1.21261,0.46148,0.22791,0.22139,0.07017,2.44891,1.36273,1.18409,0.00510818,0.00504691,0.00504691
4,1692.93,2.53609,1.45167,1.15127,0.39834,0.28166,0.26979,0.08576,2.37065,1.24724,1.14961,0.002575,0.002575,0.002575
