epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.38,5.57377,19.4286,3.55195,0.27989,0.04794,0.01394,0.0035,3.92127,10.7959,1.88327,0.0700551,0.00332721,0.00332721
2,761.09,3.4046,8.03383,1.52177,0.28394,0.195,0.13043,0.03584,2.88802,6.34774,1.33368,0.0392309,0.0058363,0.0058363
3,1152.96,2.8773,6.43307,1.27026,0.35887,0.25339,0.22318,0.06443,2.60025,5.81776,1.21651,0.00758166,0.00752039,0.00752039
4,1536,2.65502,5.60074,1.18678,0.3799,0.3026,0.27449,0.08339,2.45543,4.86055,1.18041,0.0062875,0.0062875,0.0062875
5,1916.72,2.50724,5.02158,1.14562,0.49165,0.386,0.37079,0.12046,2.27557,4.35495,1.12973,0.00505,0.00505,0.00505
6,2288.66,2.41607,4.67752,1.11698,0.48582,0.40719,0.3835,0.12161,2.30319,4.27526,1.13063,0.0038125,0.0038125,0.0038125
7,2662.19,2.34618,4.43347,1.09856,0.61743,0.39934,0.42388,0.13431,2.27949,4.22134,1.12021,0.002575,0.002575,0.002575
8,3037.45,2.30144,4.29892,1.08984,0.58035,0.4062,0.4006,0.1243,2.31495,4.25281,1.12693,0.0013375,0.0013375,0.0013375
