epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,695.254,2.88451,2.10517,1.51295,0.47253,0.29591,0.29027,0.09667,2.30283,1.39951,1.3183,0.0670307,0.000333023,0.000333023
2,1380.36,2.27874,1.32973,1.23898,0.54189,0.49533,0.47301,0.16331,2.13032,1.20396,1.25883,0.0340087,0.000644367,0.000644367
3,2066.06,2.15926,1.17128,1.19837,0.67382,0.54273,0.57423,0.20279,2.08524,1.08987,1.23325,0.000964747,0.00093371,0.00093371
4,2749.83,2.09156,1.09356,1.17659,0.70789,0.56161,0.61938,0.21971,2.02859,1.08806,1.21847,0.000901,0.000901,0.000901
5,3433.81,2.04131,1.04996,1.15406,0.6754,0.61076,0.6348,0.22608,2.02697,1.03774,1.21339,0.000868,0.000868,0.000868
6,4117.57,2.01273,1.01794,1.14817,0.70418,0.61929,0.64704,0.23052,2.03674,1.00477,1.21247,0.000835,0.000835,0.000835
7,4802.12,1.97615,0.99539,1.13704,0.69024,0.63349,0.64967,0.23133,2.0484,0.98979,1.22299,0.000802,0.000802,0.000802
8,5486.41,1.93876,0.9646,1.12647,0.70113,0.61227,0.65342,0.22828,2.0522,0.99648,1.22425,0.000769,0.000769,0.000769
9,6169.77,1.91158,0.94041,1.11849,0.67608,0.63879,0.65431,0.23203,2.06106,0.97583,1.23187,0.000736,0.000736,0.000736
10,6854.02,1.87629,0.91721,1.10808,0.70484,0.65259,0.66857,0.23451,2.06943,0.96291,1.24003,0.000703,0.000703,0.000703
11,7537.67,1.84331,0.89291,1.09977,0.70808,0.65099,0.66558,0.22762,2.08691,0.94331,1.24644,0.00067,0.00067,0.00067
12,8222.81,1.80822,0.87264,1.09114,0.71072,0.6569,0.66898,0.22686,2.11023,0.92634,1.26311,0.000637,0.000637,0.000637
13,8906.79,1.7758,0.85559,1.08267,0.70836,0.6659,0.67303,0.23208,2.106,0.92675,1.25961,0.000604,0.000604,0.000604
14,9591.23,1.74389,0.83582,1.07212,0.69137,0.65889,0.66507,0.22702,2.14304,0.91042,1.27777,0.000571,0.000571,0.000571
15,10274.8,1.70289,0.81083,1.05987,0.68994,0.65867,0.66379,0.23254,2.13727,0.90128,1.27685,0.000538,0.000538,0.000538
16,10959,1.66973,0.79607,1.05295,0.67447,0.65761,0.65393,0.22868,2.14207,0.9016,1.2818,0.000505,0.000505,0.000505
17,11643.7,1.64115,0.78228,1.04504,0.70704,0.66749,0.65694,0.22845,2.154,0.89826,1.29432,0.000472,0.000472,0.000472
18,12326.9,1.60714,0.76458,1.03326,0.69995,0.65878,0.66393,0.22345,2.16207,0.89203,1.29937,0.000439,0.000439,0.000439
19,13011,1.57074,0.74853,1.02385,0.70464,0.66466,0.6684,0.2255,2.16579,0.88366,1.30202,0.000406,0.000406,0.000406
20,13695,1.53512,0.73227,1.01446,0.70803,0.66459,0.66464,0.22419,2.17551,0.88412,1.31014,0.000373,0.000373,0.000373
21,14356.6,1.49774,0.71876,1.02151,0.70301,0.66522,0.65786,0.22019,2.18418,0.8951,1.31921,0.00034,0.00034,0.00034
22,15017.5,1.44794,0.69607,1.01063,0.69,0.65573,0.64817,0.22229,2.18375,0.88655,1.32611,0.000307,0.000307,0.000307
23,15678,1.39882,0.67494,0.99563,0.70642,0.66931,0.66018,0.22245,2.1975,0.87297,1.33946,0.000274,0.000274,0.000274
24,16339,1.35479,0.65534,0.98429,0.70122,0.67174,0.66214,0.22493,2.19762,0.87829,1.34291,0.000241,0.000241,0.000241
25,16999.1,1.30895,0.63592,0.97332,0.70317,0.66746,0.6556,0.22335,2.21536,0.88061,1.35293,0.000208,0.000208,0.000208
26,17658.8,1.26739,0.61838,0.95896,0.71289,0.6543,0.64519,0.22112,2.21967,0.87585,1.362,0.000175,0.000175,0.000175
27,18318.5,1.21418,0.59709,0.9478,0.70949,0.65364,0.64337,0.22158,2.22917,0.87956,1.37084,0.000142,0.000142,0.000142
28,18978.3,1.18114,0.58534,0.9379,0.70634,0.65572,0.64503,0.22086,2.22697,0.88317,1.37411,0.000109,0.000109,0.000109
29,19638.8,1.14185,0.56939,0.92857,0.69174,0.67132,0.64601,0.21958,2.23226,0.87914,1.37645,7.6e-05,7.6e-05,7.6e-05
30,20299,1.11095,0.5563,0.92192,0.71923,0.64988,0.64735,0.22072,2.23425,0.87682,1.37874,4.3e-05,4.3e-05,4.3e-05
