epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1983,6.26911,11.5105,4.39559,0,0,0,0,6.23867,4.42226,4.02337,0.070625,0.00326389,0.00326389
2,34.1207,5.5775,5.21444,3.79241,0,0,0,0,6.2118,4.54681,4.00213,0.0405597,0.00653191,0.00653191
3,43.3349,4.38046,3.07412,2.37633,0.5229,0.02476,0.00912,0.00161,4.08105,2.6328,2.09978,0.0104284,0.00973393,0.00973393
4,52.6912,3.96241,2.71874,1.74492,0.25577,0.04675,0.00353,0.00074,4.10692,12.2354,2.05616,0.009703,0.009703,0.009703
5,62.2621,3.65766,2.47435,1.56709,0.31411,0.06874,0.04523,0.01106,3.27698,5.7283,1.5054,0.009604,0.009604,0.009604
6,71.5086,3.36549,2.21427,1.41674,0.59183,0.08492,0.06858,0.01761,3.07998,2.03087,1.4149,0.009505,0.009505,0.009505
7,80.882,3.20226,2.05532,1.37536,0.86061,0.09809,0.09398,0.02607,2.89824,1.98274,1.36071,0.009406,0.009406,0.009406
8,89.8801,3.01518,1.91063,1.30339,0.86998,0.10654,0.10402,0.02959,2.81123,1.92824,1.28905,0.009307,0.009307,0.009307
9,98.6964,2.89029,1.81895,1.26302,0.67838,0.10148,0.10144,0.02598,3.0437,1.72718,1.3995,0.009208,0.009208,0.009208
10,108.363,2.83956,1.74176,1.26656,0.62854,0.06731,0.07348,0.01923,3.3063,1.9207,1.36637,0.009109,0.009109,0.009109
11,117.855,2.75735,1.66373,1.22513,0.59852,0.11669,0.13132,0.03503,2.99088,1.9167,1.29396,0.00901,0.00901,0.00901
12,126.762,2.67724,1.60306,1.22649,0.54898,0.18475,0.16884,0.04828,2.73208,1.56514,1.23934,0.008911,0.008911,0.008911
13,135.732,2.64237,1.56159,1.20901,0.62921,0.07693,0.09787,0.02505,3.27532,1.83735,1.36688,0.008812,0.008812,0.008812
14,144.775,2.61074,1.53606,1.18991,0.50409,0.18631,0.16975,0.05066,2.60359,1.43819,1.20624,0.008713,0.008713,0.008713
15,153.948,2.58759,1.51005,1.18141,0.56595,0.20341,0.19359,0.05882,2.5562,1.4544,1.21535,0.008614,0.008614,0.008614
16,163.129,2.55429,1.48604,1.17902,0.80751,0.12937,0.16226,0.04709,2.68439,1.60562,1.23063,0.008515,0.008515,0.008515
17,172.497,2.53493,1.44942,1.15612,0.60275,0.22804,0.2294,0.07436,2.38148,1.33515,1.16355,0.008416,0.008416,0.008416
18,181.81,2.49375,1.3837,1.15785,0.65471,0.20603,0.23209,0.07566,2.40277,1.38664,1.16802,0.008317,0.008317,0.008317
19,191.002,2.50152,1.41468,1.15486,0.70008,0.21292,0.22783,0.07352,2.40737,1.42898,1.16042,0.008218,0.008218,0.008218
20,200.099,2.44224,1.36614,1.14832,0.61772,0.24068,0.2511,0.08192,2.30265,1.35821,1.14024,0.008119,0.008119,0.008119
21,209.247,2.41695,1.35365,1.15061,0.388,0.28806,0.25359,0.08133,2.31213,1.24971,1.13916,0.00802,0.00802,0.00802
22,218.22,2.41371,1.32513,1.11922,0.32169,0.27206,0.2397,0.07732,2.34863,1.33482,1.15235,0.007921,0.007921,0.007921
23,227.172,2.37249,1.29411,1.12225,0.39495,0.27163,0.24703,0.07999,2.33452,1.26137,1.13828,0.007822,0.007822,0.007822
24,236.232,2.39363,1.30032,1.11397,0.51114,0.27298,0.26728,0.0894,2.27091,1.34222,1.13041,0.007723,0.007723,0.007723
25,245.106,2.33338,1.28486,1.12622,0.39803,0.26497,0.25422,0.08572,2.2634,1.24562,1.12757,0.007624,0.007624,0.007624
26,254.119,2.32124,1.2513,1.10731,0.43549,0.29374,0.28828,0.09414,2.27946,1.17802,1.1298,0.007525,0.007525,0.007525
27,263.58,2.31786,1.24331,1.12,0.4431,0.30489,0.2904,0.09782,2.26214,1.16798,1.11818,0.007426,0.007426,0.007426
28,272.317,2.32702,1.24664,1.11194,0.38921,0.31516,0.30495,0.10358,2.23423,1.16275,1.12137,0.007327,0.007327,0.007327
29,281.158,2.32071,1.2166,1.10255,0.40062,0.29532,0.28034,0.0934,2.25529,1.16355,1.11985,0.007228,0.007228,0.007228
30,289.817,2.29814,1.21083,1.10606,0.43071,0.28799,0.27631,0.09002,2.28104,1.20226,1.12276,0.007129,0.007129,0.007129
31,298.829,2.27708,1.21846,1.10008,0.46651,0.30509,0.3032,0.1023,2.2011,1.17848,1.10689,0.00703,0.00703,0.00703
