epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,440.771,2.20915,1.10033,1.08109,0.54539,0.35935,0.37572,0.13275,2.11999,1.04114,1.08246,0.005743,0.005743,0.005743
45,450.098,2.18156,1.10086,1.07749,0.53758,0.36673,0.36938,0.12564,2.1134,1.08444,1.08634,0.005644,0.005644,0.005644
46,459.472,2.20445,1.1024,1.07515,0.54404,0.37136,0.37518,0.12629,2.12996,1.04755,1.08512,0.005545,0.005545,0.005545
47,468.788,2.20538,1.08187,1.05799,0.5753,0.33684,0.3401,0.11521,2.16874,1.10797,1.09398,0.005446,0.005446,0.005446
48,478.079,2.1759,1.08391,1.06669,0.59235,0.35961,0.38726,0.13577,2.09796,1.0328,1.07747,0.005347,0.005347,0.005347
49,487.548,2.17511,1.08293,1.06345,0.5587,0.36876,0.37481,0.12855,2.11561,1.05139,1.08301,0.005248,0.005248,0.005248
50,497.091,2.14145,1.05889,1.062,0.55194,0.37712,0.39251,0.13374,2.10573,1.00581,1.07922,0.005149,0.005149,0.005149
51,506.505,2.15765,1.06986,1.06422,0.51923,0.33802,0.35171,0.11728,2.16436,1.07204,1.08716,0.00505,0.00505,0.00505
52,515.937,2.15825,1.06229,1.05579,0.57798,0.34536,0.36822,0.12166,2.17033,1.03851,1.08754,0.004951,0.004951,0.004951
53,525.424,2.16179,1.06197,1.05736,0.5595,0.37823,0.37835,0.12742,2.13964,1.02395,1.08475,0.004852,0.004852,0.004852
54,534.954,2.1244,1.02728,1.05963,0.5864,0.39544,0.40796,0.14102,2.10156,1.00051,1.07899,0.004753,0.004753,0.004753
55,544.441,2.14786,1.04584,1.06376,0.57789,0.41278,0.41139,0.14532,2.07922,1.00451,1.07272,0.004654,0.004654,0.004654
56,553.998,2.16358,1.07011,1.07303,0.53563,0.40123,0.41318,0.14593,2.07741,1.00203,1.07412,0.004555,0.004555,0.004555
57,563.519,2.13483,1.03129,1.05186,0.58423,0.39871,0.40538,0.14231,2.06878,1.03609,1.06956,0.004456,0.004456,0.004456
58,573.58,2.13271,1.03375,1.05484,0.59708,0.40532,0.41703,0.14843,2.0778,1.00853,1.0736,0.004357,0.004357,0.004357
59,582.996,2.13516,1.03339,1.05864,0.56111,0.41479,0.41737,0.14261,2.09385,0.99484,1.07535,0.004258,0.004258,0.004258
60,592.269,2.11606,1.0244,1.05911,0.57509,0.39131,0.41739,0.14503,2.07264,1.00147,1.07259,0.004159,0.004159,0.004159
61,601.674,2.11802,1.02729,1.05902,0.63733,0.35335,0.37805,0.12822,2.11015,1.06007,1.07734,0.00406,0.00406,0.00406
62,611.855,2.08592,1.00976,1.0442,0.54362,0.38898,0.39951,0.13761,2.09842,0.99197,1.0753,0.003961,0.003961,0.003961
