epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.992,5.57377,19.4286,3.55195,0.27989,0.04794,0.01394,0.0035,3.92127,10.7959,1.88327,0.0700551,0.00332721,0.00332721
2,805.967,3.41379,8.04885,1.52632,0.42835,0.1737,0.13063,0.03737,2.87601,6.49018,1.32576,0.0389562,0.00556155,0.00556155
3,1198.78,2.88803,6.45354,1.27395,0.42755,0.21153,0.21428,0.06292,2.63449,5.6245,1.22589,0.00675717,0.00669589,0.00669589
4,1574.17,2.66368,5.60706,1.19048,0.37391,0.33278,0.28609,0.08771,2.43523,4.76911,1.1788,0.00505,0.00505,0.00505
5,1941.09,2.51547,5.05178,1.15142,0.47353,0.37408,0.35708,0.1144,2.2823,4.45004,1.13596,0.0034,0.0034,0.0034
6,2305.42,2.43471,4.73868,1.12529,0.50744,0.37618,0.36717,0.11402,2.2933,4.38211,1.13325,0.00175,0.00175,0.00175
