epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.045,4.75389,4.11047,2.41502,0.0588,0.06383,0.0324,0.00776,3.45771,2.47629,1.48557,0.0700551,0.00332721,0.00332721
2,765.973,3.05742,1.9815,1.3196,0.54235,0.12702,0.13866,0.03993,2.75194,1.59596,1.25422,0.0392309,0.0058363,0.0058363
3,1138.16,2.72548,1.64817,1.20495,0.38669,0.25519,0.23256,0.07324,2.45578,1.33906,1.17239,0.00758166,0.00752039,0.00752039
4,1516,2.54167,1.45443,1.14351,0.43326,0.30648,0.29823,0.09819,2.30132,1.19189,1.13097,0.0062875,0.0062875,0.0062875
5,1891.29,2.40639,1.30507,1.11236,0.51217,0.35882,0.36136,0.11876,2.20333,1.13815,1.10704,0.00505,0.00505,0.00505
6,2269.66,2.33047,1.21445,1.08654,0.55393,0.37514,0.38608,0.12751,2.18346,1.10042,1.09761,0.0038125,0.0038125,0.0038125
7,2659.34,2.27463,1.16432,1.07426,0.58143,0.39219,0.40538,0.13633,2.16873,1.06331,1.08858,0.002575,0.002575,0.002575
8,3049.11,2.22635,1.1177,1.06214,0.56193,0.40645,0.41762,0.13634,2.17669,1.04889,1.09027,0.0013375,0.0013375,0.0013375
