epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7865,6.23655,38.7423,4.49831,0,0,0,0,6.39319,17.6786,4.12354,0.0704687,0.00328125,0.00328125
2,107.803,6.23533,25.969,4.30925,0,0,0,0,6.38495,18.5026,4.17517,0.0396502,0.00579603,0.00579603
3,156.08,5.256,17.5343,3.82421,0.50279,0.01945,0.00165,0.00032,4.65715,inf,10.6502,0.00800664,0.00748581,0.00748581
4,203.338,4.50877,12.6027,2.66167,0.50975,0.02371,0.0029,0.00063,4.40853,17.1472,2.24019,0.0062875,0.0062875,0.0062875
5,250.733,4.15035,10.0828,2.03791,0.53509,0.04414,0.01482,0.00288,3.90957,12.81,1.87342,0.00505,0.00505,0.00505
6,298.451,3.95069,9.13659,1.77491,0.53976,0.05574,0.02315,0.00464,3.79069,19.54,1.65154,0.0038125,0.0038125,0.0038125
7,346.122,3.69722,8.1906,1.62536,0.81174,0.07255,0.04612,0.00974,3.46042,7.6637,1.60075,0.002575,0.002575,0.002575
8,394.126,3.5395,8.0258,1.52675,0.58407,0.08999,0.04406,0.01028,3.41297,7.68328,1.54066,0.0013375,0.0013375,0.0013375
