epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3037,6.23655,38.7423,4.49831,0,0,0,0,6.39319,17.6786,4.12354,0.0704687,0.00328125,0.00328125
2,102.223,6.25354,26.2634,4.31702,0,0,0,0,6.38058,18.5917,4.17024,0.0393773,0.00552318,0.00552318
3,149.916,5.37235,18.3004,3.81765,0.50701,0.00676,0.00151,0.00043,4.75636,14.6508,4.81957,0.00718594,0.0066651,0.0066651
4,197.519,4.58915,12.8714,2.87836,0.51221,0.01586,0.00272,0.00069,4.55204,15.1476,2.61853,0.00505,0.00505,0.00505
5,244.947,4.23848,10.2218,2.1793,0.27759,0.03857,0.01399,0.00259,3.99637,8.96017,1.94599,0.0034,0.0034,0.0034
6,293.192,4.05468,9.23997,1.88875,0.53216,0.04369,0.01548,0.00324,3.92149,14.6548,1.76016,0.00175,0.00175,0.00175
