epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,355.685,0.91851,0.49439,1.08799,0.97496,0.94819,0.98089,0.76029,0.85781,0.44121,1.04772,0.0011684,0.0011684,0.0011684
44,363.754,0.93555,0.50291,1.10247,0.97457,0.95294,0.98106,0.77731,0.82472,0.42973,1.03845,0.0011486,0.0011486,0.0011486
45,371.888,0.91573,0.49291,1.08809,0.97593,0.9544,0.98209,0.7793,0.81588,0.42975,1.03518,0.0011288,0.0011288,0.0011288
46,380.105,0.90537,0.4876,1.08132,0.97887,0.95751,0.98267,0.78516,0.79055,0.41437,1.01833,0.001109,0.001109,0.001109
47,388.706,0.89652,0.48241,1.07848,0.9741,0.95484,0.98017,0.77592,0.81944,0.42258,1.02874,0.0010892,0.0010892,0.0010892
48,397.187,0.90109,0.48405,1.08019,0.98158,0.95274,0.98305,0.78413,0.80262,0.41071,1.02507,0.0010694,0.0010694,0.0010694
49,405.303,0.89105,0.48234,1.08062,0.97495,0.95855,0.98316,0.78717,0.79516,0.41532,1.02473,0.0010496,0.0010496,0.0010496
50,413.285,0.88215,0.47698,1.06984,0.97315,0.95984,0.98253,0.77965,0.80043,0.42207,1.02304,0.0010298,0.0010298,0.0010298
51,421.252,0.88115,0.47527,1.07233,0.97696,0.95583,0.98297,0.79576,0.77375,0.4029,1.01296,0.00101,0.00101,0.00101
52,429.253,0.879,0.47574,1.07017,0.98251,0.95492,0.9827,0.79314,0.77831,0.40573,1.0114,0.0009902,0.0009902,0.0009902
53,437.446,0.87284,0.4725,1.06548,0.97612,0.95298,0.98205,0.79144,0.77766,0.40888,1.01294,0.0009704,0.0009704,0.0009704
54,445.401,0.87741,0.4724,1.06811,0.98027,0.95674,0.98364,0.7975,0.76978,0.40298,1.00765,0.0009506,0.0009506,0.0009506
55,453.438,0.8693,0.46745,1.06612,0.97856,0.95773,0.98325,0.79578,0.76801,0.39935,1.00971,0.0009308,0.0009308,0.0009308
