epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,539.08,3.75021,3.30341,2.5138,0.18357,0.18539,0.15245,0.04549,2.66298,1.94342,1.76286,0.0700184,0.00333129,0.00333129
2,1067.87,2.58078,1.85426,1.5749,0.3776,0.28965,0.26818,0.09219,2.28385,1.44512,1.53859,0.0397984,0.00644469,0.00644469
3,1596.6,2.41876,1.59009,1.46667,0.50098,0.41843,0.39865,0.13909,2.17652,1.26762,1.45981,0.00935852,0.00933809,0.00933809
4,2125.21,2.30386,1.37255,1.39647,0.59344,0.47668,0.4926,0.17563,2.12872,1.16086,1.42088,0.00901,0.00901,0.00901
5,2655.67,2.22066,1.23239,1.36476,0.63902,0.50644,0.53825,0.19173,2.07944,1.10169,1.39442,0.00868,0.00868,0.00868
6,3183.64,2.17102,1.16013,1.32907,0.63049,0.51988,0.56116,0.19768,2.07206,1.08222,1.38496,0.00835,0.00835,0.00835
7,3711.57,2.11831,1.1059,1.31248,0.66915,0.56188,0.60457,0.21135,2.05751,1.06466,1.37465,0.00802,0.00802,0.00802
8,4239.75,2.086,1.06982,1.2918,0.66865,0.57009,0.59638,0.20532,2.10047,1.03745,1.38705,0.00769,0.00769,0.00769
9,4767.49,2.055,1.04531,1.28136,0.70876,0.59894,0.63405,0.21944,2.0626,1.01575,1.3739,0.00736,0.00736,0.00736
10,5295.55,2.0291,1.01799,1.26778,0.69761,0.61864,0.64401,0.22474,2.05593,0.99175,1.37191,0.00703,0.00703,0.00703
11,5822.77,2.00104,0.99779,1.25854,0.69919,0.64087,0.64754,0.22479,2.04432,0.9951,1.36928,0.0067,0.0067,0.0067
12,6350.32,1.97155,0.98179,1.2527,0.69276,0.62869,0.63651,0.22387,2.05812,0.98535,1.37632,0.00637,0.00637,0.00637
13,6877.68,1.94236,0.96263,1.23755,0.71867,0.63266,0.6621,0.23087,2.05834,0.96981,1.37288,0.00604,0.00604,0.00604
14,7405.59,1.92293,0.94372,1.22429,0.71227,0.63449,0.6542,0.22451,2.07369,0.97294,1.38809,0.00571,0.00571,0.00571
15,7933.65,1.89984,0.93071,1.22235,0.71263,0.639,0.65703,0.22637,2.08368,0.96768,1.39125,0.00538,0.00538,0.00538
16,8461.84,1.87047,0.91443,1.20988,0.70878,0.63327,0.65312,0.22519,2.10177,0.96398,1.4022,0.00505,0.00505,0.00505
17,8989.61,1.85067,0.9016,1.20012,0.67321,0.6526,0.65194,0.22884,2.08918,0.96314,1.40196,0.00472,0.00472,0.00472
18,9517.41,1.82437,0.88799,1.19681,0.70401,0.6419,0.65633,0.22434,2.11405,0.94561,1.41716,0.00439,0.00439,0.00439
19,10045.6,1.79692,0.87198,1.18425,0.69695,0.64636,0.65805,0.22337,2.11608,0.9533,1.42362,0.00406,0.00406,0.00406
20,10573.6,1.77672,0.85901,1.17202,0.69853,0.65105,0.65647,0.21944,2.13055,0.94567,1.42977,0.00373,0.00373,0.00373
21,11087.5,1.76835,0.86057,1.19369,0.71612,0.63897,0.6585,0.22278,2.13386,0.95159,1.44163,0.0034,0.0034,0.0034
22,11601.4,1.73431,0.84247,1.18332,0.69274,0.6477,0.6533,0.21974,2.1593,0.94332,1.45406,0.00307,0.00307,0.00307
23,12115.3,1.70744,0.8297,1.17215,0.7164,0.62126,0.65,0.21804,2.15495,0.93677,1.4547,0.00274,0.00274,0.00274
24,12628.1,1.67464,0.81123,1.16575,0.71552,0.62338,0.64492,0.21799,2.16632,0.93789,1.46744,0.00241,0.00241,0.00241
25,13142.3,1.65214,0.80074,1.14962,0.70233,0.63672,0.65141,0.21653,2.17252,0.93873,1.47554,0.00208,0.00208,0.00208
26,13656,1.61732,0.78585,1.13813,0.70621,0.64616,0.64939,0.21843,2.18769,0.92964,1.48973,0.00175,0.00175,0.00175
27,14169.8,1.59439,0.77309,1.13054,0.71412,0.63583,0.64644,0.21887,2.19589,0.93198,1.49658,0.00142,0.00142,0.00142
28,14684.8,1.56781,0.76156,1.11749,0.71255,0.62705,0.64266,0.21807,2.19177,0.93059,1.50259,0.00109,0.00109,0.00109
29,15198.9,1.54564,0.75034,1.11096,0.69824,0.6398,0.64385,0.21775,2.1998,0.93212,1.51211,0.00076,0.00076,0.00076
30,15713.5,1.52025,0.74174,1.1034,0.72071,0.63235,0.64756,0.21918,2.19783,0.93067,1.51095,0.00043,0.00043,0.00043
