epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1715,6.17584,9.15465,4.30982,0,0,0,0,6.34745,4.38143,3.95285,0.0704687,0.00328125,0.00328125
2,97.9911,5.73586,5.37024,3.79075,0,0,0,0,6.33767,4.50538,3.97683,0.0388316,0.00497747,0.00497747
3,146.48,4.61813,3.84911,2.97418,0.50877,0.00753,0.00201,0.0005,4.56462,2.85899,2.51318,0.00554453,0.0050237,0.0050237
4,194.451,4.37998,3.06231,2.25185,0.01795,0.01523,0.00479,0.00107,4.31091,2.48912,2.15427,0.002575,0.002575,0.002575
