epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.659,3.24046,2.53138,1.68126,0.40979,0.20136,0.2002,0.06017,2.54301,1.64534,1.45244,0.0670607,0.000332721,0.000332721
2,839.304,2.46525,1.57689,1.29438,0.44205,0.37441,0.35624,0.1203,2.21454,1.29568,1.27347,0.0340387,0.000644074,0.000644074
3,1255.69,2.30771,1.36938,1.23101,0.53353,0.4082,0.42196,0.14416,2.13454,1.28066,1.24215,0.000994702,0.000933428,0.000933428
4,1671.96,2.23021,1.26792,1.20116,0.56396,0.47853,0.47481,0.1583,2.158,1.16462,1.23621,0.000901,0.000901,0.000901
5,2086.72,2.17394,1.1926,1.18685,0.64342,0.51638,0.55914,0.19304,2.06234,1.1132,1.21192,0.000868,0.000868,0.000868
6,2502.53,2.13394,1.14727,1.16882,0.67907,0.54412,0.58601,0.20519,2.03776,1.07842,1.20749,0.000835,0.000835,0.000835
7,2917.93,2.09732,1.11418,1.15803,0.66709,0.54723,0.57666,0.20125,2.04756,1.07056,1.20258,0.000802,0.000802,0.000802
8,3333.82,2.0702,1.08278,1.1482,0.66475,0.59325,0.61966,0.21754,2.02716,1.06878,1.20013,0.000769,0.000769,0.000769
9,3749.67,2.04678,1.06854,1.14205,0.65459,0.59232,0.61942,0.22098,2.04363,1.0409,1.20175,0.000736,0.000736,0.000736
10,4166.13,2.02441,1.05125,1.13348,0.701,0.58725,0.63736,0.22408,2.02677,1.05513,1.20353,0.000703,0.000703,0.000703
11,4581.62,1.99643,1.02878,1.12486,0.6833,0.60697,0.63846,0.22265,2.05357,1.02845,1.20296,0.00067,0.00067,0.00067
12,4996.81,1.98156,1.01709,1.12308,0.678,0.62399,0.63898,0.22428,2.04855,1.02773,1.20747,0.000637,0.000637,0.000637
13,5412.27,1.95147,0.99786,1.11419,0.67359,0.61901,0.63948,0.22236,2.05606,0.99695,1.20682,0.000604,0.000604,0.000604
14,5827.81,1.93837,0.98126,1.10654,0.69225,0.63479,0.65707,0.22836,2.05828,1.00819,1.20996,0.000571,0.000571,0.000571
15,6243.17,1.92051,0.96997,1.10423,0.67876,0.63688,0.6452,0.22773,2.05916,0.98356,1.2163,0.000538,0.000538,0.000538
16,6658.79,1.89696,0.95524,1.09695,0.68626,0.62078,0.65139,0.22525,2.06652,0.99441,1.21963,0.000505,0.000505,0.000505
17,7074.45,1.87076,0.9354,1.08958,0.69328,0.63422,0.65012,0.22625,2.09193,0.97223,1.21967,0.000472,0.000472,0.000472
18,7490.03,1.85033,0.92107,1.08307,0.68078,0.63558,0.64859,0.22544,2.08631,0.975,1.22208,0.000439,0.000439,0.000439
19,7905.4,1.82884,0.90575,1.07961,0.69498,0.63489,0.64855,0.22555,2.10594,0.95372,1.23232,0.000406,0.000406,0.000406
20,8321.12,1.80605,0.89094,1.06782,0.66924,0.63122,0.63636,0.2174,2.12982,0.94817,1.23781,0.000373,0.000373,0.000373
21,8719.22,1.77816,0.8844,1.08887,0.68292,0.64219,0.64144,0.21728,2.14548,0.95487,1.24897,0.00034,0.00034,0.00034
22,9117.09,1.73313,0.85203,1.07578,0.68242,0.64062,0.64422,0.22168,2.13391,0.95128,1.24756,0.000307,0.000307,0.000307
23,9515.39,1.7028,0.83685,1.06569,0.68867,0.62985,0.64019,0.22108,2.14487,0.94295,1.25414,0.000274,0.000274,0.000274
24,9912.9,1.6647,0.81518,1.05723,0.67939,0.63064,0.64056,0.22301,2.15532,0.92936,1.26436,0.000241,0.000241,0.000241
25,10311.1,1.63499,0.80226,1.04628,0.68401,0.63,0.63614,0.21985,2.15827,0.94482,1.26326,0.000208,0.000208,0.000208
26,10708.6,1.59306,0.77971,1.03611,0.70397,0.62953,0.64251,0.22417,2.17333,0.92347,1.26825,0.000175,0.000175,0.000175
27,11106.3,1.56025,0.76539,1.02646,0.69788,0.64432,0.64441,0.2211,2.18534,0.92728,1.27532,0.000142,0.000142,0.000142
28,11504.4,1.52924,0.75167,1.01627,0.69588,0.64471,0.64648,0.22255,2.18513,0.9222,1.27872,0.000109,0.000109,0.000109
29,11902.7,1.50048,0.73927,1.00931,0.70231,0.64009,0.64372,0.22134,2.19178,0.91498,1.28166,7.6e-05,7.6e-05,7.6e-05
30,12301,1.47001,0.72604,1.00211,0.70437,0.63719,0.64271,0.22143,2.19959,0.91736,1.28677,4.3e-05,4.3e-05,4.3e-05
