epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.718,3.14733,4.11727,4.25223,0.0016,0.51999,0.00237,0.00049,3.30819,3.44471,4.11639,0.070625,0.00326389,0.00326389
2,33.1785,3.07016,4.02231,4.1847,0.0017,0.55076,0.00304,0.00064,3.22507,3.41549,4.0669,0.0405597,0.00653191,0.00653191
3,41.5261,3.0158,3.92341,4.10985,0.00176,0.6281,0.00414,0.0009,3.15484,3.4751,4.27336,0.0104284,0.00973393,0.00973393
4,50.1519,2.94786,3.87297,3.97324,0.02044,0.16352,0.00845,0.00167,2.82389,inf,11.1843,0.009703,0.009703,0.009703
5,58.68,2.85708,3.75697,3.74031,0.50372,0.11443,0.00266,0.00043,3.66981,inf,16.0683,0.009604,0.009604,0.009604
6,67.1053,2.69035,3.70148,3.50235,0.50724,0.05815,0.02276,0.00515,2.67104,137.171,5.4251,0.009505,0.009505,0.009505
7,75.6121,2.6175,3.65585,3.31204,0.26433,0.03313,0.00569,0.00128,2.60957,16.2574,3.16128,0.009406,0.009406,0.009406
8,83.9223,2.59109,3.54806,3.20308,0.53705,0.09023,0.0398,0.0098,2.5993,3.76433,3.06546,0.009307,0.009307,0.009307
9,92.4119,2.54432,3.50146,3.14359,0.26226,0.08459,0.01979,0.00574,2.40114,3.5005,2.90892,0.009208,0.009208,0.009208
10,100.834,2.4527,3.45059,3.05188,0.00525,0.43114,0.00665,0.00153,2.53423,4.93501,2.9279,0.009109,0.009109,0.009109
11,109.204,2.36597,3.3425,2.95054,0.0551,0.18063,0.0476,0.01844,2.47648,4.02542,2.88491,0.00901,0.00901,0.00901
12,117.807,2.29293,3.19245,2.86127,0.00614,0.51563,0.00846,0.00246,2.63162,5.12627,3.03189,0.008911,0.008911,0.008911
13,126.236,2.22051,3.15791,2.75748,0.01897,0.11609,0.00992,0.00244,2.82825,5.29351,3.12316,0.008812,0.008812,0.008812
14,134.647,2.09487,3.10073,2.66306,0.00223,0.0269,0.00184,0.00047,3.51063,7.4382,3.87292,0.008713,0.008713,0.008713
15,143.421,2.00701,3.02658,2.58192,0.00219,0.21464,0.00462,0.00122,3.59046,17.9684,4.40428,0.008614,0.008614,0.008614
16,151.836,1.92655,2.97885,2.48597,0.58363,0.13463,0.05816,0.01901,2.13663,3.4714,2.61448,0.008515,0.008515,0.008515
17,160.42,1.89362,2.89509,2.43899,0.54484,0.07331,0.04817,0.01963,2.13455,4.18671,2.65594,0.008416,0.008416,0.008416
18,168.958,1.84508,2.85279,2.38164,0.03027,0.30663,0.07294,0.03251,2.04699,4.52939,2.53845,0.008317,0.008317,0.008317
19,177.375,1.80107,2.7257,2.34194,0.00963,0.142,0.01082,0.00301,2.40107,5.16993,2.86681,0.008218,0.008218,0.008218
20,186.017,1.75418,2.68295,2.25939,0.30106,0.1109,0.06682,0.01942,2.03167,3.14335,2.53127,0.008119,0.008119,0.008119
