epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.615,4.75389,4.11047,2.41502,0.0588,0.06383,0.0324,0.00776,3.45771,2.47629,1.48557,0.0700551,0.00332721,0.00332721
2,772.61,3.06224,1.98679,1.32197,0.22627,0.18922,0.15427,0.04485,2.68366,1.53419,1.24467,0.0389562,0.00556155,0.00556155
3,1143.66,2.73287,1.6508,1.20712,0.29922,0.22612,0.18594,0.05295,2.64971,1.43956,1.21556,0.00675717,0.00669589,0.00669589
4,1522.41,2.54037,1.45806,1.14369,0.40176,0.31234,0.28802,0.0931,2.32141,1.20785,1.1359,0.00505,0.00505,0.00505
5,1893.66,2.40672,1.31463,1.11322,0.53723,0.35342,0.35904,0.11789,2.21018,1.13566,1.10699,0.0034,0.0034,0.0034
6,2264.82,2.33641,1.23483,1.08921,0.54698,0.34499,0.35592,0.11488,2.25972,1.15076,1.1135,0.00175,0.00175,0.00175
