epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5621,4.18275,11.5154,2.09027,0.01632,0.03521,0.00785,0.00172,4.09044,10.8783,1.8727,0.0704687,0.00328125,0.00328125
2,97.0116,4.05749,10.4807,1.87917,0.27965,0.02597,0.01071,0.00237,4.10802,9.30379,1.94594,0.0388316,0.00497747,0.00497747
3,144.116,3.97718,10.3532,1.78942,0.27097,0.04323,0.01911,0.00439,3.78379,11.1209,1.77109,0.00554453,0.0050237,0.0050237
4,191.25,3.83489,9.83977,1.71143,0.29176,0.04774,0.02212,0.00493,3.68082,9.86319,1.61537,0.002575,0.002575,0.002575
