epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.63,2.46394,5.47657,1.12821,0.37835,0.33152,0.29919,0.09361,2.36695,4.96508,1.15247,0.0700551,0.00332721,0.00332721
2,801.873,2.43798,5.33651,1.12187,0.49587,0.32037,0.32099,0.10446,2.29622,4.90221,1.13183,0.0384067,0.00501206,0.00501206
3,1207,2.40904,5.12345,1.12007,0.48461,0.29806,0.29553,0.09001,2.38913,4.87291,1.15137,0.00510818,0.00504691,0.00504691
4,1609.93,2.37875,4.91488,1.10585,0.52772,0.34621,0.34865,0.10912,2.30199,4.5771,1.13069,0.002575,0.002575,0.002575
